,gt_label,gt_rank,gt_score,top1_label,top1_score,score_gap,image_path,difficulty
18,9,1,31.77972984313965,4,33.02986145019531,1.250131607055664,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/034.jpg,hard
24,9,3,29.42984962463379,12,30.129125595092773,0.6992759704589844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/355.jpg,hard
31,9,1,32.14501953125,4,33.8925666809082,1.7475471496582031,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/429.jpg,hard
37,9,1,28.70586395263672,7,31.278940200805664,2.5730762481689453,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/377.jpg,hard
61,9,6,29.259374618530273,4,30.350364685058594,1.0909900665283203,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/131.jpg,hard
62,9,1,31.280662536621094,4,32.584617614746094,1.303955078125,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/446.jpg,hard
76,9,1,28.42265510559082,4,29.46415138244629,1.0414962768554688,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/534.jpg,hard
86,9,6,29.258563995361328,5,33.58638381958008,4.32781982421875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/766.jpg,hard
87,9,1,30.180837631225586,7,31.479843139648438,1.2990055084228516,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/564.jpg,hard
94,9,1,31.35531234741211,5,32.58338928222656,1.2280769348144531,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/361.jpg,hard
97,9,1,30.483230590820312,4,31.987503051757812,1.5042724609375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/443.jpg,hard
119,9,1,29.704280853271484,4,32.285850524902344,2.5815696716308594,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/704.jpg,hard
137,9,1,29.419370651245117,4,31.65903091430664,2.2396602630615234,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/558.jpg,hard
142,9,1,30.566720962524414,4,31.569107055664062,1.0023860931396484,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/290.jpg,hard
146,9,5,31.479787826538086,14,32.72280502319336,1.2430171966552734,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/124.jpg,hard
165,9,4,28.839906692504883,7,33.17013931274414,4.330232620239258,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/480.jpg,hard
170,9,1,31.875139236450195,4,33.508201599121094,1.6330623626708984,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/710.jpg,hard
177,9,1,30.755037307739258,14,31.907230377197266,1.1521930694580078,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/256.jpg,hard
182,9,4,31.67743682861328,6,32.66127395629883,0.9838371276855469,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/362.jpg,hard
183,9,1,32.29065704345703,4,33.374698638916016,1.0840415954589844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/627.jpg,hard
188,9,1,27.48666000366211,4,29.1030216217041,1.6163616180419922,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/515.jpg,hard
189,9,3,32.93717575073242,14,33.603092193603516,0.6659164428710938,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/227.jpg,hard
194,9,1,31.24789810180664,4,33.74555206298828,2.4976539611816406,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/372.jpg,hard
202,9,3,33.259578704833984,6,34.09762191772461,0.838043212890625,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/368.jpg,hard
204,9,3,29.15596580505371,7,30.58784294128418,1.4318771362304688,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/738.jpg,hard
207,9,2,30.18033790588379,14,31.350406646728516,1.1700687408447266,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/412.jpg,hard
214,9,2,26.99883270263672,4,28.904762268066406,1.9059295654296875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/651.jpg,hard
231,9,1,30.37751579284668,4,33.18537902832031,2.807863235473633,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/468.jpg,hard
232,9,3,29.761245727539062,7,31.205102920532227,1.443857192993164,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/414.jpg,hard
233,9,2,29.55240249633789,4,31.437837600708008,1.8854351043701172,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/403.jpg,hard
243,9,1,31.22410774230957,4,32.30000305175781,1.0758953094482422,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/381.jpg,hard
249,9,1,30.452585220336914,4,32.470706939697266,2.0181217193603516,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/401.jpg,hard
266,9,5,32.202720642089844,4,33.70486068725586,1.5021400451660156,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/719.jpg,hard
269,9,2,31.982152938842773,14,33.953895568847656,1.9717426300048828,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/530.jpg,hard
272,9,2,32.214786529541016,5,33.9554443359375,1.7406578063964844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/196.jpg,hard
